,NCT Number,Status,Conditions,Sponsor,Age,Funded_Bys,Study_Designs,Locations,links
68,NCT02800044,Not Completed,diabetes mellitus ,university of california san diego , years to  years   adult older adult ,other ,allocation na intervention model single group assignment masking none open label primary purpose device feasibility ,ucsd san diego california united states ,https://ClinicalTrials.gov/ProvidedDocs/44/NCT02800044/Prot_SAP_000.pdf
69,NCT03692208,Completed,diabetes mellitus type 2 ,university of chicago , years and older   older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose supportive care ,university of chicago chicago illinois united states ,https://ClinicalTrials.gov/ProvidedDocs/08/NCT03692208/Prot_SAP_000.pdf
70,NCT03421262,Not Completed,gestational diabetes ,hospital mutua de terrassa , years to  years   adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose diagnostic ,hospital universitari mutua terrassa terrassa barcelona spain ,https://ClinicalTrials.gov/ProvidedDocs/62/NCT03421262/Prot_SAP_000.pdf
71,NCT02582242,Completed,diabetes type 2 diabetes mellitus ,novo nordisk as , years and older   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking none open label primary purpose treatment ,novo nordisk investigational site algiers algeria novo nordisk investigational site algiers algeria novo nordisk investigational site oran algeria novo nordisk investigational site hefei anhui china novo nordisk investigational site beijing beijing china novo nordisk investigational site beijing beijing china novo nordisk investigational site beijing beijing china novo nordisk investigational site beijing beijing china novo nordisk investigational site beijing beijing china novo nordisk investigational site chongqing chongqing china novo nordisk investigational site fuzhou fujian china novo nordisk investigational site guangzhou guangdong china novo nordisk investigational site shenzhen guangdong china novo nordisk investigational site shijiazhuang hebei china novo nordisk investigational site changzhou jiangsu china novo nordisk investigational site nanjing jiangsu china novo nordisk investigational site nanjing jiangsu china novo nordisk investigational site nanjing jiangsu china novo nordisk investigational site suzhou jiangsu china novo nordisk investigational site wuxi jiangsu china novo nordisk investigational site zhenjiang jiangsu china novo nordisk investigational site nanchang jiangxi china novo nordisk investigational site changchun jilin china novo nordisk investigational site dalian liaoning china novo nordisk investigational site shanghai shanghai china novo nordisk investigational site shanghai shanghai china novo nordisk investigational site chengdu sichuan china novo nordisk investigational site tianjin tianjin china novo nordisk investigational site shatin new territories hong kong novo nordisk investigational site visakhapatnam andhra pradesh india novo nordisk investigational site guwahati assam india novo nordisk investigational site bangalore karnataka india novo nordisk investigational site bangalore karnataka india novo nordisk investigational site mysore karnataka india novo nordisk investigational site madurai tamil nadu india novo nordisk investigational site kolkata west bengal india novo nordisk investigational site new delhi india novo nordisk investigational site kaohsiung taiwan novo nordisk investigational site taichung city taiwan novo nordisk investigational site taipei taiwan novo nordisk investigational site taipei taiwan novo nordisk investigational site adana turkey novo nordisk investigational site bursa turkey novo nordisk investigational site istanbul turkey novo nordisk investigational site istanbul turkey novo nordisk investigational site kahramanmaras turkey novo nordisk investigational site dnipro ukraine novo nordisk investigational site kiev ukraine novo nordisk investigational site lviv ukraine novo nordisk investigational site ternopil ukraine ,https://ClinicalTrials.gov/ProvidedDocs/42/NCT02582242/Prot_SAP_000.pdf
72,NCT03270436,Completed,diabetes mellitus type 2 ,university of arkansas patientcentered outcomes research institute , years and older   adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose prevention ,university of arkansas for medical sciences northwest fayetteville arkansas united states ,https://ClinicalTrials.gov/ProvidedDocs/36/NCT03270436/Prot_SAP_000.pdf
73,NCT02464033,Completed,diabetes mellitus type 1 ,johnny ludvigsson swedish child diabetes foundation ostergotland county council sweden diamyd medical ab linkoeping university , years to  years   child adult ,other industry ,allocation na intervention model single group assignment masking none open label primary purpose treatment ,helsingborg hospital helsingborg sweden linkping university hospital linkping sweden lund university hospital lund sweden skne university hospital umas malm sweden sachsska sdersjukhuset stockholm sweden uddevalla hospital uddevalla sweden vsters hospital vsters sweden rebro university hospital rebro sweden ,https://ClinicalTrials.gov/ProvidedDocs/33/NCT02464033/Prot_SAP_000.pdf
74,NCT02972996,Completed,type2 diabetes ,albany research institute inc , years to  years   adult older adult ,other ,allocation randomized intervention model parallel assignment masking triple participant investigator outcomes assessor primary purpose treatment ,stratton va medical center albany new york united states ,https://ClinicalTrials.gov/ProvidedDocs/96/NCT02972996/Prot_SAP_000.pdf
75,NCT02352974,Completed,diabetes mellitus type 1 ,johnny ludvigsson swedish child diabetes foundation ostergotland county council sweden diamyd medical ab linkoeping university , years to  years   child adult ,other industry ,allocation na intervention model single group assignment masking none open label primary purpose treatment ,linkping university linkping sweden ,https://ClinicalTrials.gov/ProvidedDocs/74/NCT02352974/Prot_SAP_000.pdf
76,NCT03977662,Not Completed,type 1 diabetes ,peter stock california institute for regenerative medicine cirm university of california san francisco , years and older   adult older adult ,other ,allocation na intervention model single group assignment masking none open label primary purpose treatment ,university of california san francisco california united states ,https://ClinicalTrials.gov/ProvidedDocs/62/NCT03977662/Prot_SAP_001.pdf
77,NCT05067452,Not Completed,diabetes mellitus type 2 ,university of california san francisco project open hand contra costa health services national institute of diabetes and digestive and kidney diseases niddk , years and older   adult older adult ,other nih ,allocation randomized intervention model parallel assignment masking double investigator outcomes assessor primary purpose supportive care ,contra costa health services martinez california united states ,https://ClinicalTrials.gov/ProvidedDocs/52/NCT05067452/Prot_SAP_000.pdf
